unit,cycle,s17,s2,s3,s20,s21,s6,s9,s14,s15,s13
1,177,396,643.79,1602.02,38.63,23.1673,21.61,9046.2,8120.11,8.4779,2388.23
1,178,395,643.38,1605.33,38.65,23.177,21.61,9046.17,8116.56,8.477,2388.2
1,179,395,642.86,1592.56,38.77,23.1888,21.61,9044.23,8116.84,8.4947,2388.18
1,180,395,643.58,1599.87,38.86,23.007,21.61,9039.33,8122.57,8.4737,2388.28
1,181,397,643.44,1596.71,38.34,23.1652,21.61,9038.29,8114.79,8.472,2388.23
1,182,397,644.21,1602.08,38.43,23.1787,21.61,9041.23,8119.67,8.5158,2388.25
1,183,396,643.24,1597.23,38.56,23.1302,21.61,9040.94,8117.8,8.5041,2388.23
1,184,395,644.07,1605.44,38.43,23.0146,21.61,9047.91,8115.61,8.5133,2388.28
1,185,395,643.8,1603.46,38.51,23.07,21.61,9043.71,8113.69,8.4984,2388.27
1,186,397,643.51,1595.16,38.47,23.0564,21.61,9051.37,8123.45,8.5227,2388.25
1,187,396,643.32,1592.1,38.42,23.0822,21.61,9037.71,8115.67,8.5218,2388.28
1,188,396,643.75,1602.38,38.51,22.9588,21.61,9037.91,8117.69,8.5207,2388.23
1,189,395,644.18,1596.17,38.48,23.1127,21.61,9044.55,8117.51,8.5183,2388.33
1,190,398,643.64,1599.22,38.49,23.0675,21.61,9040.58,8112.58,8.5223,2388.35
1,191,394,643.34,1602.36,38.45,23.1295,21.61,9042.76,8114.61,8.5174,2388.3
1,192,396,643.54,1601.41,38.48,22.9649,21.61,9033.22,8110.93,8.5113,2388.32
2,1,391,641.89,1583.84,38.94,23.4585,21.6,9054.72,8137.72,8.3905,2388.06
2,2,392,641.82,1587.05,39.06,23.4085,21.61,9051.31,8131.09,8.4167,2387.98
2,3,391,641.55,1588.32,39.11,23.425,21.6,9054.24,8140.58,8.3802,2387.99
2,4,391,641.68,1584.15,39.13,23.5027,21.61,9058.01,8140.44,8.4018,2387.93
2,5,390,641.73,1579.03,39.18,23.4234,21.6,9058.15,8136.67,8.3867,2387.94
2,6,392,641.3,1577.5,39.15,23.427,21.61,9054.07,8133.65,8.38,2387.99
2,7,391,642.03,1587.49,39.1,23.4718,21.61,9052.67,8136.33,8.3941,2388.04
2,8,391,642.55,1590.41,39.11,23.4381,21.61,9055.82,8137.92,8.3861,2387.96
2,9,390,641.98,1581.99,39.06,23.4875,21.6,9051.67,8145.29,8.3868,2387.98
2,10,391,641.99,1586.37,39.2,23.6005,21.6,9058.88,8138.64,8.3982,2387.97
2,11,392,642.26,1589.21,39.23,23.3888,21.61,9053.21,8135.85,8.4188,2388.03
2,12,392,641.64,1579.99,39.12,23.4201,21.61,9047.89,8136.49,8.3925,2387.97
2,13,391,641.78,1586.77,38.88,23.4317,21.61,9053.63,8140.61,8.3742,2387.99
2,14,391,641.66,1584.04,38.93,23.4074,21.61,9047.3,8140.09,8.3887,2387.98
2,15,393,642.21,1579.84,38.94,23.4311,21.61,9049.82,8137.72,8.3704,2388.02
2,16,392,641.81,1581.99,39.01,23.4462,21.61,9051.79,8133.45,8.3805,2387.95
2,17,391,642.43,1583.58,39.04,23.5245,21.61,9052.05,8134.78,8.3714,2388.08
2,18,391,641.95,1588.43,39.0,23.4203,21.61,9051.35,8133.2,8.4053,2388.0
2,19,392,641.75,1576.84,39.1,23.4102,21.61,9055.07,8137.51,8.4035,2387.98
2,20,391,642.34,1582.94,39.02,23.3821,21.61,9050.27,8139.83,8.3698,2387.94
2,21,391,642.05,1579.51,39.24,23.5014,21.61,9055.29,8136.57,8.3954,2388.01
2,22,391,642.16,1580.18,38.98,23.4241,21.61,9053.31,8140.79,8.3792,2388.04
2,23,393,642.37,1580.89,39.1,23.2867,21.61,9051.43,8131.57,8.3937,2388.07
2,24,391,641.99,1580.97,39.18,23.3981,21.61,9052.35,8136.16,8.3866,2387.97
2,25,391,641.81,1585.38,38.99,23.4883,21.61,9055.28,8136.97,8.3959,2388.03
2,26,391,641.87,1575.38,38.96,23.4691,21.61,9050.81,8137.27,8.3472,2388.0
2,27,392,642.12,1585.44,38.96,23.4275,21.61,9058.01,8137.73,8.4077,2388.06
2,28,390,642.04,1581.6,38.95,23.4395,21.61,9053.78,8136.55,8.3734,2387.93
2,29,390,642.08,1583.78,38.97,23.4249,21.61,9055.84,8140.77,8.37,2388.02
2,30,391,641.78,1590.32,39.1,23.3985,21.61,9050.8,8136.63,8.419,2388.0
2,31,391,641.97,1579.86,39.17,23.4154,21.61,9049.93,8131.62,8.4393,2388.04
2,32,390,641.58,1584.52,38.97,23.4006,21.61,9045.87,8138.76,8.3783,2387.98
2,33,392,641.79,1585.17,39.01,23.4434,21.61,9051.18,8133.62,8.4102,2387.99
2,34,390,642.12,1584.08,38.87,23.4571,21.61,9059.29,8139.8,8.4188,2387.96
2,35,394,641.37,1575.73,39.06,23.5283,21.61,9057.34,8142.08,8.4164,2388.0
2,36,391,641.27,1581.56,39.12,23.3881,21.61,9055.79,8142.06,8.3709,2388.0
2,37,391,642.1,1585.63,39.08,23.4047,21.61,9058.16,8136.08,8.3609,2388.02
2,38,390,642.22,1585.15,39.09,23.4191,21.61,9055.35,8134.91,8.4069,2388.05
2,39,391,642.0,1585.69,39.02,23.4489,21.61,9061.16,8138.78,8.3755,2388.05
2,40,391,642.02,1582.69,38.84,23.4402,21.61,9046.96,8137.16,8.401,2388.01
2,41,392,642.41,1578.97,38.94,23.3071,21.61,9053.6,8140.84,8.3856,2388.01
2,42,392,642.27,1579.21,39.08,23.4631,21.61,9046.36,8135.3,8.3449,2388.0
2,43,392,642.02,1580.59,38.92,23.4966,21.61,9053.65,8135.14,8.4144,2388.02
2,44,392,642.01,1584.33,39.03,23.4546,21.61,9057.05,8137.23,8.4087,2388.06
2,45,390,642.05,1586.41,38.99,23.4284,21.61,9060.38,8141.93,8.3847,2388.0
2,46,390,642.15,1575.45,38.93,23.5041,21.61,9053.33,8140.52,8.3994,2388.05
2,47,391,642.4,1583.85,38.89,23.3447,21.61,9046.52,8136.97,8.3756,2388.0
2,48,392,642.09,1586.71,39.23,23.4336,21.61,9057.73,8134.97,8.3821,2387.98
2,49,390,642.85,1583.86,39.17,23.4871,21.61,9049.11,8135.93,8.4024,2387.99
2,50,391,642.02,1577.86,39.1,23.353,21.61,9051.65,8138.46,8.4042,2388.05
2,51,392,642.03,1585.34,38.9,23.3239,21.61,9055.92,8137.89,8.3731,2388.01
2,52,392,641.52,1588.48,39.08,23.3668,21.6,9056.25,8134.22,8.4064,2388.01
2,53,391,642.0,1584.9,38.95,23.5307,21.61,9051.78,8137.95,8.411,2388.01
2,54,392,641.58,1583.46,39.13,23.3626,21.61,9046.85,8141.65,8.4057,2387.99
2,55,392,642.33,1585.59,39.11,23.3779,21.6,9044.62,8134.65,8.4077,2388.02
2,56,391,641.84,1587.04,39.1,23.3796,21.61,9052.27,8139.72,8.393,2388.01
2,57,391,642.5,1584.13,39.23,23.4544,21.61,9052.86,8136.88,8.4008,2387.96
2,58,391,642.3,1582.93,39.15,23.3861,21.61,9047.75,8134.92,8.3731,2387.98
2,59,391,642.48,1584.24,39.04,23.4347,21.61,9053.2,8136.9,8.4036,2388.0
2,60,393,642.09,1584.57,39.11,23.3928,21.61,9057.57,8141.27,8.4003,2388.02
2,61,391,642.41,1585.45,39.04,23.2745,21.61,9057.02,8135.88,8.4006,2387.99
2,62,391,641.81,1577.87,39.23,23.4442,21.61,9048.8,8135.86,8.4193,2387.98
2,63,392,641.91,1575.83,38.98,23.325,21.61,9061.57,8134.72,8.3867,2388.01
2,64,391,641.66,1581.65,39.07,23.398,21.61,9048.35,8136.88,8.4144,2388.05
2,65,391,641.7,1582.59,38.92,23.3455,21.6,9057.07,8135.72,8.4128,2387.98
2,66,392,642.26,1584.6,39.0,23.426,21.61,9054.62,8138.89,8.4121,2387.98
2,67,393,642.17,1587.63,39.02,23.3933,21.61,9048.97,8138.81,8.3761,2388.0
2,68,392,642.5,1577.16,38.97,23.4076,21.61,9054.61,8137.75,8.4141,2388.0
2,69,392,642.73,1586.47,39.09,23.3783,21.61,9049.25,8136.47,8.4116,2387.97
2,70,392,641.76,1593.24,39.06,23.3894,21.61,9049.78,8134.06,8.4118,2387.98
2,71,392,642.39,1586.68,38.92,23.317,21.61,9053.44,8131.12,8.3993,2387.94
2,72,392,642.48,1583.11,39.12,23.4393,21.61,9057.61,8136.69,8.4012,2388.02
2,73,390,641.73,1586.57,38.94,23.4567,21.61,9057.35,8142.06,8.3896,2388.02
2,74,391,642.39,1584.04,39.07,23.4015,21.6,9060.56,8138.8,8.3932,2388.03
2,75,392,641.64,1578.27,38.99,23.421,21.6,9053.52,8133.37,8.3944,2388.07
2,76,392,642.01,1586.91,38.88,23.4591,21.61,9052.13,8136.29,8.3629,2388.07
2,77,392,641.97,1588.54,39.01,23.4969,21.61,9052.12,8138.64,8.4399,2388.02
2,78,391,642.44,1587.2,38.96,23.5367,21.61,9058.82,8135.85,8.4018,2387.98
2,79,390,641.62,1585.59,39.15,23.2873,21.61,9057.44,8135.02,8.3931,2388.09
2,80,391,641.37,1588.33,38.95,23.4198,21.61,9056.41,8138.12,8.3889,2388.03
2,81,391,641.72,1578.31,39.08,23.4685,21.61,9053.0,8135.81,8.4162,2388.07
2,82,391,641.86,1587.24,39.17,23.4491,21.61,9055.28,8135.13,8.3428,2388.0
2,83,390,641.73,1585.18,39.0,23.4056,21.61,9047.88,8135.08,8.3997,2388.04
2,84,392,642.41,1586.46,38.95,23.4055,21.61,9050.39,8138.11,8.394,2387.92
2,85,391,641.73,1588.31,39.13,23.4072,21.6,9049.41,8137.66,8.3954,2387.96
2,86,391,641.85,1579.31,38.87,23.4982,21.61,9050.83,8138.02,8.3958,2388.01
2,87,393,642.36,1582.64,39.1,23.2916,21.61,9056.36,8140.14,8.3952,2387.96
2,88,391,642.23,1587.88,39.06,23.4173,21.6,9056.67,8139.82,8.3851,2388.0
2,89,393,641.95,1584.62,39.18,23.4148,21.61,9054.7,8135.49,8.4143,2388.08
2,90,390,642.06,1580.77,38.9,23.4878,21.61,9053.58,8138.51,8.3922,2388.0
2,91,391,642.09,1583.57,39.1,23.3972,21.61,9045.94,8134.67,8.4026,2388.05
2,92,392,642.36,1584.87,38.81,23.2772,21.6,9050.92,8137.35,8.3919,2388.0
2,93,391,642.21,1591.68,38.94,23.3075,21.61,9049.14,8137.98,8.4005,2388.0
2,94,392,642.1,1585.62,39.15,23.4165,21.61,9054.99,8141.01,8.4075,2387.99
2,95,392,642.56,1579.26,38.98,23.4318,21.61,9048.27,8131.72,8.3773,2388.02
2,96,392,642.42,1576.94,38.92,23.3285,21.61,9059.0,8137.78,8.3698,2388.06
2,97,391,642.04,1586.12,39.06,23.3578,21.61,9056.26,8135.99,8.4202,2388.06
2,98,391,641.73,1587.84,39.08,23.5011,21.61,9056.94,8140.08,8.4115,2387.98
2,99,393,642.04,1585.48,39.15,23.3414,21.61,9054.46,8138.18,8.4179,2388.0
