unit,cycle,s17,s2,s3,s20,s21,s6,s9,s14,s15,s13,max_cycle,RUL,predicted_rul_xgb
1,30,390,642.2,1593.52,39.05,23.411,21.61,9045.62,8137.86,8.4065,2388.0,192,162,198.73016
1,31,392,642.02,1584.18,38.94,23.3353,21.61,9058.78,8125.28,8.4104,2388.06,192,161,170.6024
1,32,392,642.33,1591.38,39.02,23.4999,21.61,9050.97,8129.7,8.4148,2388.07,192,160,182.11104
1,33,392,642.71,1588.4,38.83,23.3506,21.61,9047.13,8134.42,8.3753,2388.08,192,159,176.6111
1,34,392,642.54,1581.47,38.81,23.3092,21.61,9046.46,8126.61,8.4349,2388.09,192,158,163.2305
1,35,391,642.44,1590.0,39.13,23.4164,21.61,9045.76,8140.17,8.443,2388.01,192,157,180.61674
1,36,392,642.54,1581.72,38.86,23.4308,21.61,9044.56,8132.48,8.4246,2388.04,192,156,198.37155
1,37,392,641.99,1579.11,38.99,23.4352,21.61,9055.44,8131.95,8.4142,2388.04,192,155,199.81604
1,38,392,641.93,1589.6,39.06,23.4768,21.61,9055.27,8136.61,8.4158,2388.08,192,154,175.60338
1,39,392,642.01,1583.21,38.7,23.3699,21.61,9051.76,8131.81,8.414,2388.05,192,153,187.28372
1,40,392,642.24,1582.08,38.84,23.3769,21.61,9052.98,8131.03,8.3784,2388.01,192,152,179.35513
1,41,392,642.4,1591.31,39.13,23.4444,21.61,9048.99,8138.08,8.437,2388.03,192,151,169.54869
1,42,392,642.12,1584.66,39.0,23.375,21.61,9057.06,8130.88,8.4137,2388.05,192,150,164.7557
1,43,392,642.24,1591.52,38.99,23.3148,21.61,9057.88,8127.22,8.4068,2388.09,192,149,154.39903
1,44,392,641.93,1586.94,39.06,23.4753,21.61,9046.87,8131.45,8.4201,2388.0,192,148,175.67195
1,45,393,642.53,1582.42,38.79,23.3943,21.61,9060.32,8128.31,8.4099,2388.05,192,147,158.65408
1,46,393,642.43,1588.29,38.93,23.3745,21.61,9060.38,8128.71,8.3977,2388.08,192,146,152.76108
1,47,392,642.21,1580.32,38.99,23.4873,21.61,9052.04,8126.21,8.3973,2388.05,192,145,178.19023
1,48,392,641.89,1588.51,38.94,23.365,21.61,9045.26,8129.99,8.4376,2388.06,192,144,151.21788
1,49,392,642.23,1584.35,39.06,23.4498,21.61,9050.64,8135.48,8.4151,2388.04,192,143,181.90927
1,50,392,642.77,1588.49,38.85,23.4106,21.61,9048.6,8127.3,8.4116,2388.09,192,142,150.926
1,51,393,642.81,1585.54,38.94,23.3651,21.61,9047.09,8134.36,8.4504,2388.05,192,141,153.59317
1,52,391,642.76,1583.77,39.0,23.3388,21.61,9056.01,8132.82,8.4539,2388.07,192,140,160.88759
1,53,392,642.61,1579.82,38.9,23.3775,21.61,9051.15,8134.38,8.4418,2388.06,192,139,165.35574
1,54,392,642.42,1592.59,38.96,23.2348,21.61,9056.29,8129.95,8.4189,2388.06,192,138,154.65259
1,55,392,642.41,1584.95,39.06,23.3567,21.61,9048.94,8134.1,8.4071,2388.02,192,137,172.97289
1,56,391,642.49,1586.33,38.68,23.3408,21.61,9042.42,8135.4,8.4022,2388.04,192,136,158.03001
1,57,392,642.13,1583.67,38.84,23.3567,21.61,9050.8,8135.48,8.4263,2388.08,192,135,157.7746
1,58,390,641.9,1590.46,38.93,23.2893,21.61,9050.33,8132.08,8.4319,2388.04,192,134,153.46645
1,59,392,642.33,1596.72,38.92,23.4444,21.61,9050.06,8128.81,8.4476,2388.02,192,133,148.55391
1,60,393,642.34,1582.75,38.89,23.387,21.61,9051.69,8132.89,8.3878,2388.03,192,132,169.65404
1,61,391,642.1,1583.55,38.89,23.3638,21.61,9050.58,8131.66,8.4264,2388.09,192,131,156.0971
1,62,391,642.17,1581.59,39.03,23.2707,21.61,9053.62,8132.28,8.4071,2388.1,192,130,153.27979
1,63,394,642.6,1592.14,38.77,23.3436,21.61,9049.96,8130.73,8.4357,2388.01,192,129,145.79427
1,64,391,642.23,1584.51,38.93,23.384,21.61,9043.67,8128.15,8.4066,2388.04,192,128,155.72118
1,65,392,642.28,1584.72,38.9,23.3752,21.61,9044.01,8132.94,8.4406,2388.13,192,127,135.4673
1,66,391,642.5,1588.5,38.95,23.3152,21.61,9059.45,8128.32,8.3911,2388.05,192,126,144.85605
1,67,393,642.33,1590.22,38.97,23.291,21.61,9050.24,8134.07,8.3925,2388.08,192,125,132.60887
1,68,392,642.51,1582.06,38.95,23.3174,21.61,9051.78,8132.39,8.4242,2388.07,192,124,151.43448
1,69,392,642.44,1590.7,39.0,23.3742,21.61,9050.59,8129.13,8.4292,2388.1,192,123,137.3238
1,70,392,642.22,1584.02,38.86,23.4513,21.61,9053.43,8130.36,8.4279,2388.12,192,122,139.89514
1,71,391,642.21,1580.41,38.8,23.3881,21.61,9046.09,8134.28,8.423,2388.09,192,121,151.0179
1,72,391,642.41,1579.25,38.84,23.3085,21.61,9054.42,8133.95,8.3951,2388.09,192,120,149.1633
1,73,391,642.29,1592.04,39.03,23.3975,21.61,9049.64,8129.85,8.404,2388.1,192,119,144.51747
1,74,392,642.96,1584.65,38.8,23.382,21.61,9045.85,8132.67,8.4135,2387.97,192,118,141.45268
1,75,392,641.96,1582.32,38.89,23.3521,21.61,9042.32,8130.13,8.4621,2388.11,192,117,119.95642
1,76,390,642.21,1589.21,39.02,23.4428,21.61,9056.55,8136.44,8.3996,2388.03,192,116,170.62285
1,77,393,642.55,1586.3,38.99,23.275,21.61,9046.44,8135.25,8.453,2388.08,192,115,130.4015
1,78,392,641.99,1580.76,38.88,23.3486,21.61,9042.37,8133.91,8.3793,2388.16,192,114,128.0355
1,79,394,642.12,1582.46,38.9,23.3121,21.61,9047.86,8135.4,8.4132,2388.13,192,113,126.26528
1,80,392,641.94,1591.96,38.89,23.3613,21.61,9043.67,8134.66,8.4235,2388.1,192,112,124.45338
1,81,392,642.73,1584.82,38.77,23.373,21.61,9045.31,8128.87,8.4247,2388.05,192,111,139.92937
1,82,393,642.04,1589.07,38.89,23.2713,21.61,9048.22,8134.04,8.3986,2388.03,192,110,131.9916
1,83,391,642.66,1588.05,38.8,23.3274,21.61,9049.08,8131.32,8.4128,2388.05,192,109,126.44757
1,84,392,642.64,1585.52,38.73,23.2653,21.61,9050.47,8131.54,8.4139,2388.06,192,108,121.37696
1,85,392,642.28,1590.12,39.01,23.284,21.61,9056.08,8135.31,8.4499,2388.05,192,107,134.63548
1,86,394,641.84,1588.8,38.94,23.3945,21.61,9047.26,8130.06,8.4173,2388.09,192,106,126.96604
1,87,391,642.33,1586.69,38.88,23.3402,21.61,9050.52,8130.41,8.4326,2388.06,192,105,123.5222
1,88,392,641.96,1581.29,38.9,23.3086,21.61,9046.73,8131.47,8.4586,2388.04,192,104,124.601
1,89,392,642.24,1584.73,38.95,23.3288,21.61,9055.24,8135.15,8.4489,2388.08,192,103,136.72174
1,90,391,642.67,1584.38,38.98,23.4712,21.61,9051.27,8129.72,8.3961,2388.09,192,102,131.36029
1,91,394,641.98,1584.84,39.11,23.3842,21.61,9050.72,8134.4,8.3949,2388.1,192,101,145.77728
1,92,392,642.89,1590.03,38.99,23.3522,21.61,9048.36,8131.39,8.3982,2388.05,192,100,134.7749
1,93,392,642.85,1593.74,38.86,23.2477,21.61,9047.87,8133.15,8.421,2388.08,192,99,105.88669
1,94,393,642.45,1583.27,38.85,23.3758,21.61,9045.83,8132.4,8.4524,2388.07,192,98,121.70226
1,95,394,642.86,1577.6,38.76,23.3269,21.61,9048.85,8131.63,8.4575,2388.02,192,97,106.96956
1,96,392,642.19,1584.07,38.88,23.3255,21.61,9048.71,8130.69,8.4311,2388.06,192,96,120.96089
1,97,392,642.07,1595.77,39.01,23.2963,21.61,9046.1,8128.74,8.4105,2388.06,192,95,117.697655
1,98,391,642.0,1591.11,38.96,23.2554,21.61,9045.49,8127.89,8.4012,2388.06,192,94,113.81074
1,99,393,642.46,1592.73,38.82,23.2323,21.61,9045.14,8131.77,8.4481,2388.1,192,93,106.21747
1,100,392,642.22,1589.63,38.93,23.409,21.61,9045.72,8132.49,8.4241,2388.08,192,92,125.232056
1,101,391,642.75,1584.18,38.75,23.4149,21.61,9052.3,8125.97,8.4353,2388.08,192,91,92.02043
1,102,393,642.85,1589.11,38.94,23.3653,21.61,9051.36,8130.4,8.4561,2388.05,192,90,116.274345
1,103,392,642.21,1581.27,38.69,23.4289,21.61,9053.28,8124.4,8.4263,2388.1,192,89,109.28653
1,104,392,642.29,1590.63,38.96,23.3393,21.61,9044.73,8131.89,8.4021,2388.09,192,88,129.1436
1,105,393,642.01,1588.28,38.77,23.3857,21.61,9048.36,8134.01,8.4326,2388.08,192,87,122.970245
1,106,392,642.68,1589.05,39.08,23.4148,21.61,9049.82,8126.38,8.4664,2388.09,192,86,110.2678
1,107,396,642.53,1595.13,39.01,23.4086,21.61,9048.68,8132.4,8.4241,2388.07,192,85,104.13359
1,108,393,643.49,1585.91,38.75,23.3032,21.61,9047.03,8131.52,8.4133,2388.03,192,84,110.49494
1,109,394,642.49,1586.45,39.05,23.3561,21.61,9051.13,8130.97,8.3757,2388.11,192,83,105.57844
1,110,393,642.55,1590.01,39.06,23.2951,21.61,9051.4,8127.16,8.4638,2388.12,192,82,95.21439
1,111,392,642.67,1584.38,38.92,23.2135,21.61,9051.64,8132.4,8.4447,2388.14,192,81,97.439224
1,112,394,642.66,1586.46,38.84,23.3207,21.61,9051.28,8131.52,8.4445,2388.08,192,80,108.12094
1,113,393,642.68,1590.85,38.9,23.3101,21.61,9053.15,8129.32,8.458,2388.16,192,79,89.84419
1,114,394,642.31,1588.42,38.89,23.3754,21.61,9046.58,8132.36,8.429,2388.15,192,78,107.30609
1,115,393,642.66,1594.84,38.93,23.3022,21.61,9050.37,8127.6,8.4345,2388.12,192,77,98.83973
1,116,394,642.64,1580.31,39.03,23.3512,21.61,9049.71,8134.46,8.4059,2388.05,192,76,124.314964
1,117,391,642.38,1589.77,38.73,23.1766,21.61,9049.61,8126.12,8.4256,2388.1,192,75,84.05165
1,118,393,642.34,1585.67,38.88,23.2966,21.61,9051.12,8135.21,8.4197,2388.12,192,74,100.93887
1,119,394,642.67,1596.8,39.01,23.3188,21.61,9045.89,8123.85,8.4194,2388.09,192,73,110.96902
1,120,393,642.81,1593.78,38.81,23.3061,21.61,9048.72,8125.57,8.4029,2388.1,192,72,105.79583
1,121,394,642.63,1593.56,38.63,23.422,21.61,9040.97,8133.94,8.4263,2388.04,192,71,88.7733
1,122,393,643.3,1593.68,38.86,23.2793,21.61,9042.39,8131.81,8.4256,2388.12,192,70,84.590935
1,123,392,643.39,1586.66,38.9,23.292,21.61,9049.44,8129.72,8.4396,2388.17,192,69,84.24206
1,124,393,642.48,1587.14,38.8,23.2341,21.61,9053.03,8133.82,8.4416,2388.13,192,68,89.190636
1,125,394,642.96,1585.47,38.68,23.3039,21.61,9046.16,8126.33,8.4079,2388.11,192,67,81.03202
1,126,392,642.49,1582.64,38.85,23.2289,21.61,9049.11,8130.94,8.4378,2388.08,192,66,95.52663
1,127,393,642.99,1586.9,38.91,23.2772,21.61,9047.9,8133.0,8.4626,2388.1,192,65,87.03857
1,128,393,642.47,1593.87,38.85,23.2641,21.61,9056.59,8132.08,8.4413,2388.16,192,64,73.94346
1,129,393,642.41,1591.33,38.84,23.2656,21.61,9046.08,8127.33,8.4681,2388.13,192,63,82.428764
1,130,394,642.7,1585.9,38.71,23.3461,21.61,9042.97,8125.29,8.3938,2388.07,192,62,77.08584
1,131,391,643.01,1585.78,38.73,23.3435,21.61,9045.1,8126.38,8.4328,2388.13,192,61,78.20507
1,132,393,643.19,1596.06,38.53,23.3186,21.61,9044.04,8128.92,8.4227,2388.16,192,60,73.51654
1,133,394,642.45,1592.64,38.95,23.2521,21.61,9050.95,8130.93,8.4604,2388.09,192,59,104.73103
1,134,393,642.85,1583.62,38.68,23.2833,21.61,9046.16,8131.3,8.4293,2388.13,192,58,89.252365
1,135,392,642.45,1585.55,38.85,23.2744,21.61,9050.65,8129.34,8.4242,2388.12,192,57,94.27401
1,136,393,642.84,1584.72,38.76,23.1699,21.61,9040.89,8130.43,8.4469,2388.11,192,56,78.34336
1,137,394,642.43,1594.69,38.87,23.2593,21.61,9040.55,8128.81,8.449,2388.12,192,55,86.43933
1,138,392,642.79,1589.82,39.0,23.3664,21.61,9049.64,8129.67,8.4208,2388.18,192,54,96.50112
1,139,394,643.11,1592.28,38.88,23.3422,21.61,9044.81,8124.97,8.4621,2388.15,192,53,62.686718
1,140,393,643.05,1590.89,38.82,23.3704,21.61,9055.85,8130.27,8.4397,2388.05,192,52,105.76166
1,141,394,642.39,1590.02,39.02,23.2382,21.61,9050.86,8120.93,8.4641,2388.16,192,51,81.82491
1,142,392,642.51,1595.29,38.71,23.2816,21.61,9046.61,8124.87,8.4291,2388.18,192,50,65.63307
1,143,393,642.77,1593.1,38.79,23.2305,21.61,9050.63,8126.81,8.4419,2388.11,192,49,79.3614
1,144,393,643.09,1591.89,38.75,23.2249,21.61,9049.33,8125.47,8.4601,2388.17,192,48,55.85175
1,145,395,642.95,1594.92,38.67,23.149,21.61,9046.92,8130.91,8.4644,2388.15,192,47,41.982822
1,146,392,642.72,1586.75,38.69,23.3233,21.61,9045.99,8129.19,8.4312,2388.12,192,46,83.05367
1,147,393,642.25,1594.85,38.77,23.2684,21.61,9041.24,8126.13,8.4428,2388.12,192,45,80.36918
1,148,392,643.02,1590.03,38.77,23.2498,21.61,9040.93,8124.48,8.4276,2388.15,192,44,58.58647
1,149,394,642.9,1592.78,38.77,23.2565,21.61,9057.24,8124.34,8.4731,2388.15,192,43,55.71679
1,150,394,643.06,1589.01,38.68,23.2082,21.61,9044.76,8122.99,8.4726,2388.21,192,42,40.88541
1,151,394,642.82,1592.39,38.56,23.2277,21.61,9048.12,8127.21,8.4612,2388.22,192,41,40.64241
1,152,395,642.67,1598.6,38.77,23.2369,21.61,9043.9,8119.0,8.4572,2388.19,192,40,55.64022
1,153,393,642.99,1589.17,38.78,23.1719,21.61,9049.43,8124.14,8.4435,2388.17,192,39,55.992344
1,154,394,642.81,1597.03,38.82,23.2366,21.61,9049.08,8129.24,8.4794,2388.18,192,38,50.705997
1,155,394,642.83,1590.4,38.68,23.2749,21.61,9049.56,8120.41,8.4729,2388.17,192,37,50.59522
1,156,395,643.04,1585.61,38.77,23.2791,21.61,9044.21,8128.48,8.4432,2388.16,192,36,53.84697
1,157,392,642.2,1598.04,38.67,23.2354,21.61,9053.12,8125.07,8.4328,2388.17,192,35,67.29252
1,158,394,642.88,1596.82,38.75,23.2894,21.61,9049.22,8126.33,8.4368,2388.22,192,34,48.81242
1,159,394,642.89,1589.54,38.76,23.253,21.61,9048.06,8127.61,8.4403,2388.23,192,33,44.734303
1,160,396,643.45,1590.65,38.52,23.2817,21.61,9045.42,8122.68,8.4433,2388.22,192,32,37.263004
1,161,394,643.0,1594.2,38.66,23.2962,21.61,9048.06,8126.97,8.4405,2388.18,192,31,52.902355
1,162,394,643.15,1592.22,38.78,23.1538,21.61,9044.45,8123.77,8.5015,2388.2,192,30,32.455055
1,163,393,642.85,1600.54,38.65,23.1419,21.61,9049.24,8124.06,8.5129,2388.2,192,29,32.398293
1,164,394,643.17,1598.96,38.62,23.1761,21.61,9048.92,8124.63,8.4803,2388.28,192,28,25.112185
1,165,393,642.76,1597.03,38.59,23.2129,21.61,9039.09,8126.53,8.4922,2388.24,192,27,32.066273
1,166,395,643.34,1596.72,38.62,23.145,21.61,9043.11,8119.14,8.4663,2388.22,192,26,25.902576
1,167,394,643.02,1593.83,38.77,23.3011,21.61,9042.05,8122.41,8.4632,2388.18,192,25,49.855762
1,168,393,642.68,1591.19,38.76,23.277,21.61,9036.35,8124.44,8.4925,2388.19,192,24,46.49804
1,169,394,643.2,1590.16,38.58,23.187,21.61,9055.18,8125.3,8.4767,2388.18,192,23,34.951122
1,170,395,642.92,1592.71,38.66,23.1615,21.61,9044.03,8121.76,8.49,2388.26,192,22,22.864853
1,171,395,643.26,1592.06,38.68,23.2444,21.61,9042.12,8124.87,8.4922,2388.22,192,21,27.633627
1,172,393,643.33,1591.71,38.65,23.1585,21.61,9039.1,8120.08,8.4595,2388.26,192,20,37.26005
1,173,395,642.97,1590.69,38.59,23.1789,21.61,9048.82,8121.64,8.5091,2388.23,192,19,25.10527
1,174,393,642.64,1599.81,38.57,23.0357,21.61,9041.25,8119.17,8.4476,2388.21,192,18,42.856068
1,175,394,643.61,1603.29,38.58,23.1573,21.61,9042.66,8125.76,8.489,2388.22,192,17,13.638423
1,176,394,642.86,1592.27,38.72,23.2491,21.61,9045.74,8123.8,8.4853,2388.2,192,16,38.18118
1,177,396,643.79,1602.02,38.63,23.1673,21.61,9046.2,8120.11,8.4779,2388.23,192,15,16.060083
1,178,395,643.38,1605.33,38.65,23.177,21.61,9046.17,8116.56,8.477,2388.2,192,14,18.132113
1,179,395,642.86,1592.56,38.77,23.1888,21.61,9044.23,8116.84,8.4947,2388.18,192,13,37.261284
1,180,395,643.58,1599.87,38.86,23.007,21.61,9039.33,8122.57,8.4737,2388.28,192,12,22.678219
1,181,397,643.44,1596.71,38.34,23.1652,21.61,9038.29,8114.79,8.472,2388.23,192,11,17.072794
1,182,397,644.21,1602.08,38.43,23.1787,21.61,9041.23,8119.67,8.5158,2388.25,192,10,9.938917
1,183,396,643.24,1597.23,38.56,23.1302,21.61,9040.94,8117.8,8.5041,2388.23,192,9,10.891329
1,184,395,644.07,1605.44,38.43,23.0146,21.61,9047.91,8115.61,8.5133,2388.28,192,8,2.6215339
1,185,395,643.8,1603.46,38.51,23.07,21.61,9043.71,8113.69,8.4984,2388.27,192,7,6.6843653
1,186,397,643.51,1595.16,38.47,23.0564,21.61,9051.37,8123.45,8.5227,2388.25,192,6,8.270827
1,187,396,643.32,1592.1,38.42,23.0822,21.61,9037.71,8115.67,8.5218,2388.28,192,5,8.362033
1,188,396,643.75,1602.38,38.51,22.9588,21.61,9037.91,8117.69,8.5207,2388.23,192,4,5.274413
1,189,395,644.18,1596.17,38.48,23.1127,21.61,9044.55,8117.51,8.5183,2388.33,192,3,5.5892897
1,190,398,643.64,1599.22,38.49,23.0675,21.61,9040.58,8112.58,8.5223,2388.35,192,2,2.5680468
1,191,394,643.34,1602.36,38.45,23.1295,21.61,9042.76,8114.61,8.5174,2388.3,192,1,8.724091
1,192,396,643.54,1601.41,38.48,22.9649,21.61,9033.22,8110.93,8.5113,2388.32,192,0,2.5647166
2,1,391,641.89,1583.84,38.94,23.4585,21.6,9054.72,8137.72,8.3905,2388.06,287,286,246.566
2,2,392,641.82,1587.05,39.06,23.4085,21.61,9051.31,8131.09,8.4167,2387.98,287,285,246.7122
2,3,391,641.55,1588.32,39.11,23.425,21.6,9054.24,8140.58,8.3802,2387.99,287,284,253.98747
2,4,391,641.68,1584.15,39.13,23.5027,21.61,9058.01,8140.44,8.4018,2387.93,287,283,236.64136
2,5,390,641.73,1579.03,39.18,23.4234,21.6,9058.15,8136.67,8.3867,2387.94,287,282,247.84445
2,6,392,641.3,1577.5,39.15,23.427,21.61,9054.07,8133.65,8.38,2387.99,287,281,273.04224
2,7,391,642.03,1587.49,39.1,23.4718,21.61,9052.67,8136.33,8.3941,2388.04,287,280,227.05003
2,8,391,642.55,1590.41,39.11,23.4381,21.61,9055.82,8137.92,8.3861,2387.96,287,279,236.14334
2,9,390,641.98,1581.99,39.06,23.4875,21.6,9051.67,8145.29,8.3868,2387.98,287,278,218.8364
2,10,391,641.99,1586.37,39.2,23.6005,21.6,9058.88,8138.64,8.3982,2387.97,287,277,242.23882
2,11,392,642.26,1589.21,39.23,23.3888,21.61,9053.21,8135.85,8.4188,2388.03,287,276,227.00526
2,12,392,641.64,1579.99,39.12,23.4201,21.61,9047.89,8136.49,8.3925,2387.97,287,275,251.11998
2,13,391,641.78,1586.77,38.88,23.4317,21.61,9053.63,8140.61,8.3742,2387.99,287,274,234.96405
2,14,391,641.66,1584.04,38.93,23.4074,21.61,9047.3,8140.09,8.3887,2387.98,287,273,218.29747
2,15,393,642.21,1579.84,38.94,23.4311,21.61,9049.82,8137.72,8.3704,2388.02,287,272,219.93526
2,16,392,641.81,1581.99,39.01,23.4462,21.61,9051.79,8133.45,8.3805,2387.95,287,271,247.01152
2,17,391,642.43,1583.58,39.04,23.5245,21.61,9052.05,8134.78,8.3714,2388.08,287,270,207.65012
2,18,391,641.95,1588.43,39.0,23.4203,21.61,9051.35,8133.2,8.4053,2388.0,287,269,238.91176
2,19,392,641.75,1576.84,39.1,23.4102,21.61,9055.07,8137.51,8.4035,2387.98,287,268,221.90068
2,20,391,642.34,1582.94,39.02,23.3821,21.61,9050.27,8139.83,8.3698,2387.94,287,267,228.57335
2,21,391,642.05,1579.51,39.24,23.5014,21.61,9055.29,8136.57,8.3954,2388.01,287,266,231.59215
2,22,391,642.16,1580.18,38.98,23.4241,21.61,9053.31,8140.79,8.3792,2388.04,287,265,211.07776
2,23,393,642.37,1580.89,39.1,23.2867,21.61,9051.43,8131.57,8.3937,2388.07,287,264,196.98293
2,24,391,641.99,1580.97,39.18,23.3981,21.61,9052.35,8136.16,8.3866,2387.97,287,263,226.55243
2,25,391,641.81,1585.38,38.99,23.4883,21.61,9055.28,8136.97,8.3959,2388.03,287,262,225.11296
2,26,391,641.87,1575.38,38.96,23.4691,21.61,9050.81,8137.27,8.3472,2388.0,287,261,220.98721
2,27,392,642.12,1585.44,38.96,23.4275,21.61,9058.01,8137.73,8.4077,2388.06,287,260,208.6935
2,28,390,642.04,1581.6,38.95,23.4395,21.61,9053.78,8136.55,8.3734,2387.93,287,259,228.41847
2,29,390,642.08,1583.78,38.97,23.4249,21.61,9055.84,8140.77,8.37,2388.02,287,258,218.16147
2,30,391,641.78,1590.32,39.1,23.3985,21.61,9050.8,8136.63,8.419,2388.0,287,257,200.98979
2,31,391,641.97,1579.86,39.17,23.4154,21.61,9049.93,8131.62,8.4393,2388.04,287,256,219.59785
2,32,390,641.58,1584.52,38.97,23.4006,21.61,9045.87,8138.76,8.3783,2387.98,287,255,214.76361
2,33,392,641.79,1585.17,39.01,23.4434,21.61,9051.18,8133.62,8.4102,2387.99,287,254,207.91011
2,34,390,642.12,1584.08,38.87,23.4571,21.61,9059.29,8139.8,8.4188,2387.96,287,253,206.01213
2,35,394,641.37,1575.73,39.06,23.5283,21.61,9057.34,8142.08,8.4164,2388.0,287,252,220.20728
2,36,391,641.27,1581.56,39.12,23.3881,21.61,9055.79,8142.06,8.3709,2388.0,287,251,207.33586
2,37,391,642.1,1585.63,39.08,23.4047,21.61,9058.16,8136.08,8.3609,2388.02,287,250,199.2325
2,38,390,642.22,1585.15,39.09,23.4191,21.61,9055.35,8134.91,8.4069,2388.05,287,249,218.34317
2,39,391,642.0,1585.69,39.02,23.4489,21.61,9061.16,8138.78,8.3755,2388.05,287,248,193.14241
2,40,391,642.02,1582.69,38.84,23.4402,21.61,9046.96,8137.16,8.401,2388.01,287,247,215.28455
2,41,392,642.41,1578.97,38.94,23.3071,21.61,9053.6,8140.84,8.3856,2388.01,287,246,209.03917
2,42,392,642.27,1579.21,39.08,23.4631,21.61,9046.36,8135.3,8.3449,2388.0,287,245,207.60011
2,43,392,642.02,1580.59,38.92,23.4966,21.61,9053.65,8135.14,8.4144,2388.02,287,244,218.3682
2,44,392,642.01,1584.33,39.03,23.4546,21.61,9057.05,8137.23,8.4087,2388.06,287,243,193.95026
2,45,390,642.05,1586.41,38.99,23.4284,21.61,9060.38,8141.93,8.3847,2388.0,287,242,184.1501
2,46,390,642.15,1575.45,38.93,23.5041,21.61,9053.33,8140.52,8.3994,2388.05,287,241,218.65651
2,47,391,642.4,1583.85,38.89,23.3447,21.61,9046.52,8136.97,8.3756,2388.0,287,240,200.43456
2,48,392,642.09,1586.71,39.23,23.4336,21.61,9057.73,8134.97,8.3821,2387.98,287,239,203.82634
2,49,390,642.85,1583.86,39.17,23.4871,21.61,9049.11,8135.93,8.4024,2387.99,287,238,202.10614
2,50,391,642.02,1577.86,39.1,23.353,21.61,9051.65,8138.46,8.4042,2388.05,287,237,178.06836
2,51,392,642.03,1585.34,38.9,23.3239,21.61,9055.92,8137.89,8.3731,2388.01,287,236,180.53036
2,52,392,641.52,1588.48,39.08,23.3668,21.6,9056.25,8134.22,8.4064,2388.01,287,235,189.95303
